user_id,account_ref,timestamp,activity_type,asset_name,symbol,instrument_type,amount,price,value,currency,profit_loss_value,profit_loss_pct,holdings_after,asset_class,chain,address,tx_hash,block_number,log_index,external_id,venue,protocol,counterparty,fee_amount,fee_symbol,raw_json
prototype,eth:0x00000000219ab540356cBB839Cbe05303d7705Fa,2026-04-28T22:14:11Z,deposit,Ethereum,ETH,spot,32,,,USD,,,,crypto,ETH,0x00000000219ab540356cBB839Cbe05303d7705Fa,0x3d1978d7001f85c1dab5468f88c77215ac0ff507bd2e4b1c51b5ba08a1c6d9c2,24981482,,0x3d1978d7001f85c1dab5468f88c77215ac0ff507bd2e4b1c51b5ba08a1c6d9c2,,,0x8d3fb0a168903945460051c24409e2f57240c2e6,,,"{""from"":""0x8d3fb0a168903945460051c24409e2f57240c2e6"",""hash"":""0x3d1978d7001f85c1dab5468f88c77215ac0ff507bd2e4b1c51b5ba08a1c6d9c2"",""status"":""ok"",""to"":""0x00000000219ab540356cbb839cbe05303d7705fa""}"
prototype,eth:0x00000000219ab540356cBB839Cbe05303d7705Fa,2026-04-28T22:14:11Z,deposit,Ethereum,ETH,spot,32,,,USD,,,,crypto,ETH,0x00000000219ab540356cBB839Cbe05303d7705Fa,0xb71be2ae4a09ee55bf22a85e169a761d679b9a10716f15543ace624556462b51,24981482,,0xb71be2ae4a09ee55bf22a85e169a761d679b9a10716f15543ace624556462b51,,,0x97fb1f10fd984af29515697030309869cc090721,,,"{""from"":""0x97fb1f10fd984af29515697030309869cc090721"",""hash"":""0xb71be2ae4a09ee55bf22a85e169a761d679b9a10716f15543ace624556462b51"",""status"":""ok"",""to"":""0x00000000219ab540356cbb839cbe05303d7705fa""}"
